위치,일자,현재발전출력,계절,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),수평일사량,경사일사량,외기온도,위치코드
당진,2016-01-02,242.99127902618963,겨울,6.5,0.0,0.0,0.0,9.7,4.1,4.9,4.4,4.7,239.48634603011152,140.67190380458845,5.42044816053231,1
당진,2016-01-03,235.79608874785268,겨울,6.2,0.0,0.0,0.0,9.7,2.8,7.1,7.1,6.2,261.52422359892466,377.39129476069706,4.029942170921512,1
당진,2016-01-04,233.4737005377796,겨울,2.8,0.0,0.0,0.0,9.7,8.3,5.9,2.4,3.8,357.3879680619133,237.87091612052896,9.373253653748138,1
당진,2016-01-05,156.82664359110052,겨울,-1.1,0.0,0.0,0.0,9.7,5.7,3.6,2.4,0.8,365.1424885303082,125.58913231573736,7.936431450306009,1
당진,2016-01-06,394.29556227674993,겨울,0.4,0.0,0.0,0.0,9.8,1.1,8.0,8.0,1.5,175.35467911121316,342.0706184467696,6.774067281867332,1
당진,2016-01-07,301.7050918251981,겨울,0.2,0.42,0.0,0.0,9.8,6.4,6.6,6.3,2.4,209.58465754521183,226.7997711448092,10.276265523940864,1
당진,2016-01-08,131.68165339063611,겨울,-0.9,8.42,0.0,0.6,9.8,8.6,5.1,5.1,2.5,264.4161555611415,143.92526772460076,3.640334503214544,1
당진,2016-01-09,245.0180488202332,겨울,0.4,4.25,0.0,0.1,9.8,5.8,5.8,5.8,1.4,111.09799206762764,289.49299969497656,4.438132724905886,1
당진,2016-01-10,248.83408351869383,겨울,-0.5,0.0,0.0,0.0,9.8,4.6,3.6,2.9,1.0,122.72871404569048,120.57232484929686,11.078306280518266,1
당진,2016-01-11,344.9748875437692,겨울,-2.7,0.0,0.0,0.0,9.8,8.8,1.4,0.1,-0.4,202.4686312534087,240.19779562344849,11.401185607327706,1
당진,2016-01-12,289.6931201771636,겨울,-3.1,2.83,0.0,0.3,9.9,8.5,3.1,2.4,-1.1,347.1083607597834,228.108566036721,15.423122789388792,1
당진,2016-01-13,350.712003353279,겨울,-1.6,17.25,0.0,5.0,9.9,3.9,6.6,6.6,0.5,441.7313363563852,95.27159948115906,9.151873807706554,1
당진,2016-01-14,287.74141793005737,겨울,-2.4,3.4,0.0,0.0,9.9,6.8,2.8,2.8,0.4,133.71065469670015,185.8943568672073,12.36043876753302,1
당진,2016-01-15,239.57279101336172,겨울,0.5,0.0,0.0,0.0,9.9,7.5,1.9,1.9,0.8,221.10672488278107,346.12109335376067,11.600577008799856,1
당진,2016-01-16,243.86516031995856,겨울,2.3,1.08,0.0,0.0,9.9,2.8,6.5,5.3,1.7,295.06456580698296,250.1141310052765,7.813535099409384,1
당진,2016-01-17,135.0540467629909,겨울,2.3,0.0,0.0,0.0,10.0,0.0,6.8,1.8,1.9,313.6429221637593,86.81965006241721,15.48192055424566,1
당진,2016-01-18,30.55599453950637,겨울,-3.8,13.67,0.0,5.8,10.0,1.8,8.6,7.5,0.1,304.17989424098,208.36911020995296,12.051257375513396,1
당진,2016-01-19,195.65861915418355,겨울,-7.7,9.33,0.0,0.0,10.0,3.3,7.4,7.4,0.4,366.44238146081136,109.99990949928092,8.888063768629896,1
당진,2016-01-20,100.71690448351406,겨울,-8.3,4.5,0.0,0.1,10.0,5.5,6.0,3.8,0.3,240.3940190075137,76.18955209348293,14.41461489768048,1
당진,2016-01-21,246.25027982418985,겨울,-6.3,0.0,0.0,0.0,10.1,6.6,4.4,0.0,-0.2,234.11742300854985,476.42846402040544,10.481946957333,1
당진,2016-01-22,338.439974183479,겨울,-5.9,0.0,0.0,0.0,10.1,7.9,3.9,0.1,-0.9,438.3797991232048,269.02985595701807,4.877506427165874,1
당진,2016-01-23,224.1586071930692,겨울,-8.5,15.0,0.0,5.7,10.1,3.8,7.8,7.8,-0.8,154.18899733743683,269.1820854426631,8.386627188545486,1
당진,2016-01-24,103.9047473475024,겨울,-10.3,18.58,0.0,3.3,10.1,1.7,8.5,8.5,-0.2,79.67372464959087,378.0591881564436,8.97580987836045,1
당진,2016-01-25,268.6683776100636,겨울,-7.9,9.17,0.0,0.3,10.2,8.1,5.1,5.1,-0.1,359.6970407154637,460.18521777485216,5.182756098828743,1
당진,2016-01-26,327.3343622674397,겨울,-1.8,10.58,0.0,0.7,10.2,5.8,5.5,5.5,-0.1,320.87243475926243,224.82684924198293,5.341497038686988,1
당진,2016-01-27,93.96273071457522,겨울,-2.3,0.0,0.0,0.0,10.2,8.8,2.6,1.1,-0.4,379.7588907976031,193.49395506968224,5.676564129670317,1
당진,2016-01-28,133.40715986985737,겨울,0.3,0.0,0.0,0.0,10.2,0.5,8.6,2.9,-0.2,169.277991997752,189.5840958610741,6.592014792038007,1
당진,2016-01-29,123.23661352474544,겨울,1.6,0.0,0.0,0.0,10.3,0.0,8.1,2.9,0.0,328.8373679344786,49.0930492738605,4.290316967350631,1
당진,2016-01-30,121.45081160485256,겨울,-0.1,0.0,0.0,0.0,10.3,6.8,2.4,0.0,-0.2,31.606655474497465,214.9795142809219,9.216411257125271,1
당진,2016-01-31,121.2200359389999,겨울,-2.2,0.0,0.0,0.0,10.3,6.7,3.9,0.5,0.0,159.7015557276342,177.82059960999976,8.604701165706885,1
